time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093930301159,902.167,-109.616,1086.03,0,0,0
18093930517511,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093930734196,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093930951215,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093931167918,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093931384418,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093931601122,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093931818937,902.167,-109.616,1086.03,181.28,9.46074,-3.60118
18093932057900,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093932285567,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093932503067,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093932720696,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093932937363,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093933154511,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093933371437,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093933594141,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093933811233,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093934027918,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093934244011,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093934460048,969.549,-116.941,1079.44,181.28,9.46074,-3.60118
18093934676493,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093934894067,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093935111770,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093935329659,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093935547215,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093935764844,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093935982418,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093936216696,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093936434455,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093936651567,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093936868826,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093937092030,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093937309604,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093937527085,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093937744289,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093937961400,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093938178900,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
18093938397122,969.549,-116.941,1079.44,139.225,-8.20948,-0.21363
